id, productId, quantity, totalValue, deadline, arrivalTime
# --- 正常订单 ---
1, 1, 3, 5000.0, 2025-11-27 12:00, 2025-11-25 20:00
2, 1, 2, 3500.0, 2025-11-27 16:00, 2025-11-26 06:30
3, 2, 4, 4000.0, 2025-11-27 08:00, 2025-11-26 07:00
4, 2, 2, 2000.0, 2025-11-28 08:00, 2025-11-26 07:15
5, 3, 8, 4800.0, 2025-11-27 08:00, 2025-11-25 23:00

# --- 特殊情况测试 ---
# 订单6: P3小件，量大，测试能否拼满4小时块
6, 3, 10, 6000.0, 2025-11-28 12:00, 2025-11-26 05:00

# 订单7: [必定罚款] 耗时4小时，但只有2小时窗口(8:00-10:00)，必定延误
7, 1, 2, 15000.0, 2025-11-26 10:00, 2025-11-26 07:50

# 订单8: [迟到] 9:30到达，应该被过滤掉，不参与排程
8, 2, 5, 5000.0, 2025-11-28 08:00, 2025-11-26 09:30

# 订单9: [卡点] 刚好8:00到达，应该被包含
9, 1, 1, 2000.0, 2025-11-27 08:00, 2025-11-26 08:00

# 订单10: [大单] P2产品，数量多，测试三条线是否均衡分担
10, 2, 12, 12000.0, 2025-11-29 08:00, 2025-11-25 18:00
