id, productId, quantity, totalValue, deadline, arrivalTime
# ==========================================
# 场景 1: 红色警报 - 极速单 (P1, 4h)
# ------------------------------------------
# 截止时间：当天(12日) 下午 16:00
# 预期：必须最先安排，否则罚款！
401, 1, 5, 5000.0, 2025-12-12 16:00, 2025-12-12 07:00

# ==========================================
# 场景 2: 跨订单拼单 (P2, 2h + 2h)
# ------------------------------------------
# 两个不同的订单，截止时间相同(13日中午)
# 预期：甘特图中这两个应该拼在同一个4小时块里，其中一个带 ★
201, 2, 10, 800.0, 2025-12-13 12:00, 2025-12-12 07:00
202, 2, 10, 800.0, 2025-12-13 12:00, 2025-12-12 07:00

# ==========================================
# 场景 3: 贪吃蛇拼单 (P3, 1h * 4)
# ------------------------------------------
# 一个订单包含4个工件，总共4小时
# 预期：甘特图中应该看到4个连续的小色块，后3个带 ★
301, 3, 12, 2000.0, 2025-12-13 16:00, 2025-12-12 07:00

# ==========================================
# 场景 4: 标准对照 (P1, 4h)
# ------------------------------------------
# 普通订单，明天(13日)早上交货
101, 1, 10, 1000.0, 2025-12-13 08:00, 2025-12-12 07:00
